FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2011-2015","High school diploma only, 2011-2015","Some college or associate's degree, 2011-2015","Bachelor's degree or higher, 2011-2015","Percent of adults with less than a high school diploma, 2011-2015","Percent of adults with a high school diploma only, 2011-2015","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2011-2015",poverty_State,poverty_Area_Name,poverty_Rural-urban_Continuum_Code_2003,poverty_Urban_Influence_Code_2003,poverty_Rural-urban_Continuum_Code_2013,poverty_Urban_Influence_Code_2013,poverty_POVALL_2015,poverty_CI90LBAll_2015,poverty_CI90UBALL_2015,poverty_PCTPOVALL_2015,poverty_CI90LBALLP_2015,poverty_CI90UBALLP_2015,poverty_POV017_2015,poverty_CI90LB017_2015,poverty_CI90UB017_2015,poverty_PCTPOV017_2015,poverty_CI90LB017P_2015,poverty_CI90UB017P_2015,poverty_POV517_2015,poverty_CI90LB517_2015,poverty_CI90UB517_2015,poverty_PCTPOV517_2015,poverty_CI90LB517P_2015,poverty_CI90UB517P_2015,poverty_MEDHHINC_2015,poverty_CI90LBINC_2015,poverty_CI90UBINC_2015,poverty_POV05_2015,poverty_CI90LB05_2015,poverty_CI90UB05_2015,poverty_PCTPOV05_2015,poverty_CI90LB05P_2015,poverty_CI90UB05P_2015
2158,AK,Kusilvak Census Area,9,12,9,12,1174,56,16,17,93,4.4,1.3,1,1222,368,135,143,65.4,19.7,7.2,8,1053,806,380,255,42.2,32.3,15.2,10,1038,1269,496,279,33.7,41.2,16.1,9.1,832,1811,870,185,22.5,49,23.5,5,AK,Kusilvak Census Area,9,12,9,12,2576,2128,3024,31.8,26.3,37.3,1446,1144,1748,43.4,34.3,52.5,943,710,1176,42.1,31.7,52.5,33511,30960,36062, , , , , ,0
13125,GA,Glascock County,9,12,9,12,1224,116,30,15,88.4,8.4,2.2,1,1002,317,81,70,68.2,21.6,5.5,4.8,796,510,211,85,49.7,31.8,13.2,5.3,598,711,341,114,33.9,40.3,19.3,6.5,430,926,553,168,20.7,44.6,26.6,8.1,GA,Glascock County,9,12,9,12,530,405,655,17.8,13.6,22,174,136,212,24.4,19.1,29.7,122,93,151,21.1,16.1,26.1,40732,36798,44666, , , , , ,0
13265,GA,Taliaferro County,8,7,8,7,1171,81,28,49,88.1,6.1,2.1,3.7,950,182,67,69,74.9,14.4,5.3,5.4,628,440,85,69,51.4,36,7,5.6,628,467,219,120,43.8,32.6,15.3,8.4,406,575,198,130,31,43.9,15.1,9.9,GA,Taliaferro County,8,7,8,7,548,443,653,33.5,27.1,39.9,154,124,184,54.4,43.7,65.1,109,84,134,58,44.9,71.1,28952,25962,31942, , , , , ,0
21189,KY,Owsley County,9,12,9,12,2341,155,66,118,87.4,5.8,2.5,4,2288,551,176,222,70.7,17,5.4,7,2057,601,217,312,64.5,18.9,6.8,10,1646,907,439,250,50.8,28,13.5,8,1047,1130,549,542,32,34.6,16.8,16.6,KY,Owsley County,9,12,9,12,1847,1439,2255,42.4,33,51.8,576,452,700,61.6,48.4,74.8,398,304,492,60,45.8,74.2,23341,20890,25792, , , , , ,0
21109,KY,Jackson County,9,10,9,10,4575,412,124,183,86.4,7.8,2.3,4,5003,1130,279,281,74.7,16.9,4.2,4,4516,1843,603,362,61.7,25.2,8.2,5,4055,2875,1098,583,47.1,33.4,12.8,7,2575,4011,1759,896,27.9,43.4,19,9.7,KY,Jackson County,9,10,9,10,4106,3338,4874,31.2,25.4,37,1205,964,1446,41,32.8,49.2,817,638,996,38.2,29.9,46.5,30565,27501,33629, , , , , ,0
21159,KY,Martin County,8,7,9,12,3780,319,125,165,86.1,7.3,2.8,4,4505,1606,359,404,65.5,23.4,5.2,6,4009,2023,743,433,55.6,28.1,10.3,6,3601,2324,1201,709,46,29.7,15.3,9,2467,3464,2263,571,28.1,39.5,25.8,6.5,KY,Martin County,8,7,9,12,4266,3350,5182,40,31.4,48.6,1132,887,1377,45.3,35.5,55.1,778,595,961,42.6,32.6,52.6,29198,26354,32042, , , , , ,0
47087,TN,Jackson County,8,3,8,3,4175,503,110,81,85.7,10.3,2.3,2,3948,1265,310,326,67.5,21.6,5.3,6,3468,1787,641,432,54.8,28.2,10.1,7,2943,2979,1101,648,38.4,38.8,14.4,8,2132,3982,1558,680,25.5,47.7,18.7,8.1,TN,Jackson County,8,3,8,3,2668,2149,3187,23.6,19,28.2,716,569,863,34.2,27.2,41.2,519,406,632,32.6,25.5,39.7,34651,31073,38229, , , , , ,0
21147,KY,McCreary County,9,10,9,10,5275,484,182,253,85.2,7.8,2.9,4,5803,1628,289,425,71.2,20,3.5,5,5457,2427,812,422,59.8,26.6,8.9,5,5053,3312,1586,717,47.4,31,14.9,7,3383,4973,3055,864,27.6,40.5,24.9,7,KY,McCreary County,9,10,9,10,6604,5364,7844,41.5,33.7,49.3,1965,1556,2374,51.9,41.1,62.7,1300,985,1615,48.6,36.9,60.3,25655,23034,28276, , , , , ,0
13307,GA,Webster County,8,7,8,6,986,82,56,38,84.9,7.1,4.8,3.3,829,292,97,88,63.5,22.4,7.4,6.7,703,475,160,78,49.6,33.5,11.3,5.5,615,539,290,144,38.7,33.9,18.3,9.1,452,860,404,141,24.3,46.3,21.8,7.6,GA,Webster County,8,7,8,6,623,500,746,23.6,18.9,28.3,198,158,238,36.1,28.8,43.4,142,111,173,31.3,24.5,38.1,35770,32069,39471, , , , , ,0
51021,VA,Bland County,8,7,8,7,2697,298,151,43,84.6,9.3,4.7,1,2087,1158,484,204,53.1,29.4,12.3,5,1690,1607,1009,208,37.4,35.6,22.4,5,1451,1903,1178,457,29.1,38.1,23.6,9.2,747,2006,1607,718,14.7,39.5,31.6,14.1,VA,Bland County,8,7,8,7,794,601,987,13.6,10.3,16.9,183,142,224,17.8,13.8,21.8,122,91,153,15.7,11.7,19.7,44727,40232,49222, , , , , ,0
